Start Date,End Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS)
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids tupperware dish set,2,1,50.00%,1.49,1.49,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,melamine kids dishes,179,1,0.56%,1.49,1.49,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,mr bones dish set for kids,2,1,50.00%,0.92,0.92,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,triton kids dishes,2,1,50.00%,1.34,1.34,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,tupperware kids dishes,1,1,100.00%,1.06,1.06,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,metal toddler plate,60,1,1.67%,1.61,1.61,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,moana plate set for toddlers,6,1,16.67%,1.48,1.48,,0.0
7-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,montessori toddler plates,3,1,33.33%,1.06,1.06,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,non breakable plates toddlers,2,1,50.00%,1.25,1.25,,0.0
3-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,oxo plates for toddlers,11,2,18.18%,1.57,3.14,12.57%,7.96
12-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,plate toddler,1,1,100.00%,1.46,1.46,,0.0
11-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,plates and bowls for toddlers,2,1,50.00%,0.98,0.98,3.92%,25.5
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,plates for toddlers,1,1,100.00%,1.43,1.43,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,safe toddler plates,2,1,50.00%,1.45,1.45,4.83%,20.68
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler meal plates,3,1,33.33%,1.28,1.28,,0.0
31-May-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plate set,96,3,3.13%,1.4,4.2,,0.0
25-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates,428,6,1.40%,0.99,5.92,10.77%,9.29
4-Jun-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates 6,2,1,50.00%,1.38,1.38,,0.0
30-May-21,30-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates characters,2,1,50.00%,1.65,1.65,6.60%,15.15
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates small,8,1,12.50%,1.58,1.58,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler sticky plate,2,1,50.00%,1.68,1.68,,0.0
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,bpa free kids plates and bowls,26,1,3.85%,2.29,2.29,,0.0
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kid friendly bowls and plates,2,2,100.00%,1.64,3.28,13.13%,7.62
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kid friendly plates and bowls sets,10,1,10.00%,1.91,1.91,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids bowls and plates,10,1,10.00%,1.53,1.53,,0.0
31-May-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids bowls and plates set,130,5,3.85%,1.23,6.14,24.57%,4.07
10-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids plates and bowls,145,2,1.38%,1.42,2.83,,0.0
25-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids plates and bowls sets,4271,15,0.35%,1.31,19.69,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids plates and bowls sets dishwasher safe,1,1,100.00%,2.15,2.15,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids safe plates and bowls sets,2,1,50.00%,2.25,2.25,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,non toxic kids plates and bowls,6,1,16.67%,2.27,2.27,9.08%,11.01
30-May-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,plates and bowls for kids,17,4,23.53%,1.17,4.69,18.77%,5.33
30-May-21,30-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,plates and bowls sets kid friendly,3,1,33.33%,2.19,2.19,,0.0
12-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,plates and bowls sets kids,2,1,50.00%,1.42,1.42,,0.0
25-May-21,25-May-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,5pcs/set bamboo kids dinnerware set,2,2,100.00%,1.1,2.2,,0.0
6-Jun-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,bamboo dinnerware for kids,15,1,6.67%,1.47,1.47,,0.0
29-May-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,bamboo kids dinnerware,14,2,14.29%,1.69,3.37,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,bpa bps free kids dinnerware,1,1,100.00%,1.25,1.25,5.00%,19.99
3-Jun-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,dinnerware for kids,19,2,10.53%,1.46,2.91,,0.0
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,dinnerware set for kids,6,1,16.67%,1.03,1.03,,0.0
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,dinnerware set kids,2,1,50.00%,1.03,1.03,,0.0
25-May-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,eco friendly kids dinnerware,18,3,16.67%,1.73,5.19,,0.0
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kid friendly dinnerware set made in usa,1,1,100.00%,1.31,1.31,,0.0
27-May-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kids bamboo dinnerware sets,85,8,9.41%,1.64,13.12,52.50%,1.9
30-May-21,30-May-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kids blue dinnerware set,1,1,100.00%,1.54,1.54,,0.0
10-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kids dinnerware,115,2,1.74%,0.85,1.7,,0.0
25-May-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kids dinnerware sets,6320,26,0.41%,1.2,31.26,31.27%,3.2
6-Jun-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kids dishes dinnerware sets bpa free,13,1,7.69%,1.54,1.54,,0.0
3-Jun-21,3-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kids eco friendly dinnerware sets,2,1,50.00%,1.52,1.52,,0.0
3-Jun-21,3-Jun-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,kids sets of dinnerware,1,1,100.00%,1.25,1.25,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,kids dinnerware,BROAD,melamine kids dinnerware sets,8,1,12.50%,1.37,1.37,5.48%,18.24
6-Jun-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,bakerpan toddler bowls,50,1,2.00%,1.04,1.04,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,bamboo bowl toddler,22,1,4.55%,1.0,1.0,,0.0
2-Jun-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,bamboo toddler bowls,3,1,33.33%,1.87,1.87,,0.0
7-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,montessori plates and bowls for toddlers,3,1,33.33%,1.17,1.17,4.68%,21.36
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,silicon bowls for toddlers,5,1,20.00%,1.41,1.41,,0.0
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,toddler bowl,34,1,2.94%,1.29,1.29,,0.0
2-Jun-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,toddler bowl lid,20,1,5.00%,1.65,1.65,,0.0
25-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,toddler bowls,655,3,0.46%,0.86,2.58,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,toddler bowls bamboo,45,2,4.44%,1.74,3.48,,0.0
25-May-21,25-May-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,toddler feeding bowls,16,1,6.25%,1.18,1.18,,0.0
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,toddler plate and bowl,8,1,12.50%,1.75,1.75,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,toddler plates and bowls,15,1,6.67%,0.88,0.88,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,travel bowls for toddlers,3,1,33.33%,1.59,1.59,5.30%,18.86
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,bowls for toddlers,BROAD,youngever toddler bowls,17,1,5.88%,2.0,2.0,,0.0
26-May-21,9-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07FZM2HRL""",-,b07fzm2hrl,417,13,3.12%,1.11,14.38,19.18%,5.21
7-Jun-21,7-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07GWP6VQD""",-,b07gwp6vqd,22,1,4.55%,0.3,0.3,,0.0
30-May-21,9-Jun-21,Rainforest - ASIN,ASIN,"asin=""B0757H88LH""",-,b0757h88lh,1431,23,1.61%,1.58,36.45,36.46%,2.74
28-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07DD9865C""",-,b07dd9865c,1145,14,1.22%,0.94,13.17,26.35%,3.79
26-May-21,1-Jun-21,Rainforest - ASIN,ASIN,"asin=""B0757HTB3P""",-,b0757htb3p,368,5,1.36%,1.84,9.2,18.41%,5.43
26-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07KYXRLSN""",-,b07kyxrlsn,17258,219,1.27%,1.08,235.82,37.75%,2.65
26-May-21,10-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07MR15921""",-,b07mr15921,1119,13,1.16%,0.96,12.44,,0.0
28-May-21,9-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07FYLCGPT""",-,b07fylcgpt,261,8,3.07%,1.38,11.06,44.26%,2.26
29-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B082DCX76S""",-,b082dcx76s,686,18,2.62%,0.81,14.51,,0.0
25-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07FP3NYST""",-,b07fp3nyst,7310,63,0.86%,0.79,49.99,50.01%,2.0
5-Jun-21,5-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07V4BGBG8""",-,b07v4bgbg8,11,1,9.09%,0.66,0.66,,0.0
29-May-21,9-Jun-21,Rainforest - ASIN,ASIN,"asin=""B0757H6FSM""",-,b0757h6fsm,1170,17,1.45%,1.36,23.16,92.68%,1.08
2-Jun-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B08F2PR7JS""",-,b08f2pr7js,4182,43,1.03%,0.9,38.56,77.15%,1.3
26-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07KYX5MHX""",-,b07kyx5mhx,7950,60,0.75%,1.01,60.76,40.52%,2.47
1-Jun-21,6-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07FP4X2RL""",-,b07fp4x2rl,251,6,2.39%,1.25,7.52,,0.0
26-May-21,28-May-21,Rainforest - ASIN,ASIN,"asin=""B071CHZBKM""",-,b071chzbkm,83,2,2.41%,1.75,3.49,,0.0
29-May-21,29-May-21,Rainforest - ASIN,ASIN,"asin=""B07FZKKZG6""",-,b07fzkkzg6,43,1,2.33%,1.18,1.18,,0.0
28-May-21,11-Jun-21,Rainforest - ASIN,ASIN,"asin=""B087L7Q1N5""",-,b087l7q1n5,113,5,4.42%,0.81,4.05,8.10%,12.34
2-Jun-21,8-Jun-21,Rainforest - ASIN,ASIN,"asin=""B01AVH0K4C""",-,b01avh0k4c,600,7,1.17%,0.95,6.63,26.53%,3.77
1-Jun-21,11-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07Z52GJMN""",-,b07z52gjmn,75,2,2.67%,0.87,1.73,,0.0
4-Jun-21,9-Jun-21,Rainforest - ASIN,ASIN,"asin=""B071D2YSPM""",-,b071d2yspm,21,2,9.52%,0.84,1.68,,0.0
28-May-21,9-Jun-21,Rainforest - ASIN,ASIN,"asin=""B0757GLR1F""",-,b0757glr1f,1610,15,0.93%,1.28,19.21,76.87%,1.3
28-May-21,29-May-21,Rainforest - ASIN,ASIN,"asin=""B082DCSYCK""",-,b082dcsyck,38,2,5.26%,1.49,2.98,,0.0
28-May-21,4-Jun-21,Rainforest - ASIN,ASIN,"asin=""B088BB23RD""",-,b088bb23rd,206,3,1.46%,1.03,3.08,,0.0
26-May-21,26-May-21,Rainforest - ASIN,ASIN,"asin=""B088BKK9YW""",-,b088bkk9yw,69,2,2.90%,1.08,2.16,,0.0
31-May-21,5-Jun-21,Rainforest - ASIN,ASIN,"asin=""B08531J5B3""",-,b08531j5b3,86,3,3.49%,1.1,3.31,,0.0
29-May-21,29-May-21,Rainforest - ASIN,ASIN,"asin=""B07BNPY4DN""",-,b07bnpy4dn,10,1,10.00%,1.23,1.23,,0.0
1-Jun-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07V59GBMY""",-,b07v59gbmy,65,3,4.62%,1.02,3.06,,0.0
25-May-21,11-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07KYWP2MT""",-,b07kywp2mt,3495,21,0.60%,0.84,17.57,,0.0
29-May-21,10-Jun-21,Rainforest - ASIN,ASIN,"asin=""B01M6B9BGE""",-,b01m6b9bge,393,7,1.78%,1.02,7.13,,0.0
27-May-21,6-Jun-21,Rainforest - ASIN,ASIN,"asin=""B01M8PIPIL""",-,b01m8pipil,88,2,2.27%,1.09,2.18,,0.0
26-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B01M9I7XHN""",-,b01m9i7xhn,584,10,1.71%,1.18,11.76,47.06%,2.13
26-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B08GP6TSG4""",-,b08gp6tsg4,681,9,1.32%,1.03,9.24,36.97%,2.7
28-May-21,11-Jun-21,Rainforest - ASIN,ASIN,"asin=""B08GP9CWXR""",-,b08gp9cwxr,748,11,1.47%,1.01,11.06,44.26%,2.26
28-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B08GPDXNN4""",-,b08gpdxnn4,833,25,3.00%,0.82,20.58,82.35%,1.21
28-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B082DB35W3""",-,b082db35w3,404,6,1.49%,1.06,6.35,25.41%,3.94
26-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07DD9C28V""",-,b07dd9c28v,3889,57,1.47%,1.32,75.11,60.11%,1.66
2-Jun-21,2-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07DDBGBM1""",-,b07ddbgbm1,87,2,2.30%,1.13,2.26,,0.0
28-May-21,10-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07DDBKG2Q""",-,b07ddbkg2q,168,3,1.79%,0.43,1.3,,0.0
28-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07ZHML9NH""",-,b07zhml9nh,921,11,1.19%,0.99,10.84,43.38%,2.31
27-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07ZKZZS5X""",-,b07zkzzs5x,515,7,1.36%,1.05,7.33,29.33%,3.41
25-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B078WRHG9X""",-,b078wrhg9x,8954,45,0.50%,0.88,39.41,31.54%,3.17
27-May-21,31-May-21,Rainforest - ASIN,ASIN,"asin=""B0847HBFWX""",-,b0847hbfwx,79,2,2.53%,0.84,1.68,,0.0
26-May-21,1-Jun-21,Rainforest - ASIN,ASIN,"asin=""B006H75WL2""",-,b006h75wl2,1219,4,0.33%,0.67,2.69,,0.0
25-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07QFCC91T""",-,b07qfcc91t,9531,97,1.02%,0.98,94.96,33.33%,3.0
25-May-21,11-Jun-21,Rainforest - ASIN,ASIN,"asin=""B083Z1FCCJ""",-,b083z1fccj,456,15,3.29%,0.87,13.09,26.19%,3.82
30-May-21,11-Jun-21,Rainforest - ASIN,ASIN,"asin=""B071CSJXWN""",-,b071csjxwn,332,5,1.51%,1.06,5.32,,0.0
1-Jun-21,1-Jun-21,Rainforest - ASIN,ASIN,"asin=""B082KJGKTS""",-,b082kjgkts,36,1,2.78%,0.84,0.84,,0.0
28-May-21,9-Jun-21,Rainforest - ASIN,ASIN,"asin=""B082DDHLB5""",-,b082ddhlb5,192,3,1.56%,1.0,2.99,,0.0
1-Jun-21,1-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07V59XDQM""",-,b07v59xdqm,30,1,3.33%,1.41,1.41,,0.0
29-May-21,11-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07DDB4F7B""",-,b07ddb4f7b,1885,13,0.69%,1.04,13.5,,0.0
26-May-21,7-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07RZ9RZ5M""",-,b07rz9rz5m,329,6,1.82%,1.16,6.93,,0.0
26-May-21,8-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07S8JXCDG""",-,b07s8jxcdg,903,8,0.89%,0.98,7.87,,0.0
30-May-21,7-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07FP5P7FS""",-,b07fp5p7fs,145,3,2.07%,1.09,3.27,,0.0
26-May-21,8-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07YL97665""",-,b07yl97665,66,2,3.03%,0.66,1.31,,0.0
29-May-21,29-May-21,Rainforest - ASIN,ASIN,"asin=""B087LK8H2K""",-,b087lk8h2k,22,1,4.55%,0.63,0.63,,0.0
26-May-21,12-Jun-21,Rainforest - ASIN,ASIN,"asin=""B07DD9WBZW""",-,b07dd9wbzw,1011,18,1.78%,1.12,20.19,,0.0
27-May-21,27-May-21,Rainforest - ASIN,ASIN,"asin=""B07QC5T48H""",-,b07qc5t48h,14,1,7.14%,1.0,1.0,,0.0
31-May-21,31-May-21,Rainforest - ASIN,ASIN,"asin=""B082KP946S""",-,b082kp946s,32,1,3.13%,1.06,1.06,,0.0
26-May-21,8-Jun-21,Rainforest - ASIN,ASIN,"asin=""B01MG7OE9X""",-,b01mg7oe9x,1599,16,1.00%,1.08,17.28,,0.0
29-May-21,4-Jun-21,Rainforest - Manual,Exact Ad Group,kids bowls,EXACT,kid bowl,19,2,10.53%,1.89,3.78,,0.0
30-May-21,30-May-21,Rainforest - Manual,Exact Ad Group,kids bowls,EXACT,kid bowls,81,1,1.23%,1.92,1.92,7.68%,13.02
30-May-21,10-Jun-21,Rainforest - Manual,Exact Ad Group,kids bowls,EXACT,kids bowl,625,7,1.12%,1.64,11.47,45.90%,2.18
25-May-21,11-Jun-21,Rainforest - Manual,Exact Ad Group,kids bowls,EXACT,kids bowls,7309,52,0.71%,1.76,91.66,61.13%,1.64
25-May-21,12-Jun-21,Rainforest - Manual,Exact Ad Group,bamboo plates for kids,EXACT,bamboo plates for kids,12864,188,1.46%,1.34,252.1,20.42%,4.9
4-Jun-21,4-Jun-21,Rainforest - Manual,Exact Ad Group,bamboo plates for kids,EXACT,bamboo plates kids,13,1,7.69%,3.7,3.7,14.81%,6.75
27-May-21,11-Jun-21,Rainforest - Manual,Exact Ad Group,kids dishes,EXACT,kid dishes,136,7,5.15%,1.4,9.79,,0.0
25-May-21,11-Jun-21,Rainforest - Manual,Exact Ad Group,kids dishes,EXACT,kids dishes,871,12,1.38%,1.31,15.7,,0.0
2-Jun-21,2-Jun-21,Rainforest - Manual,Exact Ad Group,plates for kids,EXACT,plate kids,138,2,1.45%,1.49,2.98,,0.0
25-May-21,12-Jun-21,Rainforest - Manual,Exact Ad Group,plates for kids,EXACT,plates for kids,664,15,2.26%,1.83,27.42,,0.0
28-May-21,3-Jun-21,Rainforest - Manual,Exact Ad Group,plates for kids,EXACT,plates kids,18,3,16.67%,1.77,5.32,,0.0
6-Jun-21,11-Jun-21,Rainforest - Manual,Exact Ad Group,kids plates,EXACT,kid plate,114,3,2.63%,1.64,4.92,9.84%,10.16
27-May-21,12-Jun-21,Rainforest - Manual,Exact Ad Group,kids plates,EXACT,kid plates,1568,29,1.85%,1.98,57.34,57.36%,1.74
1-Jun-21,12-Jun-21,Rainforest - Manual,Exact Ad Group,kids plates,EXACT,kids plate,461,7,1.52%,2.29,16.06,64.27%,1.56
